,State,Year,Public Two-Year In-District Tuition and Fees,Public Four-Year In-State Tuition and Fees
363,Wyoming,2010-11,"$2,496 ","$4,409 "
364,Alaska,2011-12,,"$5,910 "
365,Alabama,2011-12,"$4,345 ","$8,669 "
366,Arkansas,2011-12,"$2,885 ","$7,210 "
367,Arizona,2011-12,"$2,331 ","$10,223 "
368,California,2011-12,"$1,212 ","$9,679 "
369,Colorado,2011-12,"$3,677 ","$8,529 "
370,Connecticut,2011-12,"$3,781 ","$9,987 "
371,District of Columbia,2011-12,,"$7,584 "
372,Delaware,2011-12,"$4,136 ","$11,310 "
373,Florida,2011-12,"$3,234 ","$6,094 "
374,Georgia,2011-12,"$3,386 ","$7,907 "
375,Hawaii,2011-12,"$3,213 ","$9,067 "
376,Iowa,2011-12,"$4,454 ","$8,193 "
377,Idaho,2011-12,"$3,024 ","$6,156 "
378,Illinois,2011-12,"$3,415 ","$12,601 "
379,Indiana,2011-12,"$3,833 ","$9,040 "
380,Kansas,2011-12,"$2,559 ","$7,498 "
381,Kentucky,2011-12,"$4,389 ","$8,640 "
382,Louisiana,2011-12,"$2,927 ","$5,684 "
383,Massachusetts,2011-12,"$5,219 ","$11,014 "
384,Maryland,2011-12,"$4,018 ","$8,626 "
385,Maine,2011-12,"$3,607 ","$10,148 "
386,Michigan,2011-12,"$3,100 ","$11,746 "
387,Minnesota,2011-12,"$5,592 ","$10,854 "
388,Missouri,2011-12,"$2,964 ","$8,327 "
389,Mississippi,2011-12,"$2,389 ","$6,147 "
390,Montana,2011-12,"$3,309 ","$6,372 "
391,North Carolina,2011-12,"$2,243 ","$6,164 "
392,North Dakota,2011-12,"$4,254 ","$7,434 "
393,Nebraska,2011-12,"$2,699 ","$7,483 "
394,New Hampshire,2011-12,"$7,285 ","$14,629 "
395,New Jersey,2011-12,"$4,454 ","$13,034 "
396,New Mexico,2011-12,"$1,624 ","$5,889 "
397,Nevada,2011-12,"$2,723 ","$6,548 "
398,New York,2011-12,"$4,608 ","$6,722 "
399,Ohio,2011-12,"$4,283 ","$10,237 "
400,Oklahoma,2011-12,"$3,276 ","$6,578 "
401,Oregon,2011-12,"$4,357 ","$8,661 "
402,Pennsylvania,2011-12,"$4,255 ","$13,094 "
403,Puerto Rico,2011-12,,"$2,831 "
404,Rhode Island,2011-12,"$3,983 ","$10,850 "
405,South Carolina,2011-12,"$4,027 ","$11,221 "
406,South Dakota,2011-12,"$5,356 ","$7,360 "
407,Tennessee,2011-12,"$3,849 ","$7,769 "
408,Texas,2011-12,"$2,210 ","$8,725 "
409,Utah,2011-12,"$3,269 ","$5,743 "
410,Virginia,2011-12,"$4,316 ","$10,331 "
411,Vermont,2011-12,"$7,064 ","$14,188 "
412,Washington,2011-12,"$4,132 ","$10,287 "
413,Wisconsin,2011-12,"$4,149 ","$8,881 "
414,West Virginia,2011-12,"$2,933 ","$5,998 "
415,Wyoming,2011-12,"$2,521 ","$4,469 "
416,Alaska,2012-13,,"$6,181 "
417,Alabama,2012-13,"$4,368 ","$9,332 "
418,Arkansas,2012-13,"$2,985 ","$7,474 "
419,Arizona,2012-13,"$2,355 ","$10,394 "
420,California,2012-13,"$1,516 ","$9,601 "
421,Colorado,2012-13,"$3,822 ","$9,019 "
422,Connecticut,2012-13,"$3,844 ","$10,295 "
423,District of Columbia,2012-13,,"$7,740 "
424,Delaware,2012-13,"$4,114 ","$11,655 "
425,Florida,2012-13,"$3,303 ","$6,662 "
426,Georgia,2012-13,"$3,542 ","$8,055 "
427,Hawaii,2012-13,"$3,309 ","$9,203 "
428,Iowa,2012-13,"$4,542 ","$8,367 "
429,Idaho,2012-13,"$3,327 ","$6,399 "
430,Illinois,2012-13,"$3,471 ","$13,001 "
431,Indiana,2012-13,"$3,911 ","$9,312 "
432,Kansas,2012-13,"$2,689 ","$7,778 "
433,Kentucky,2012-13,"$4,489 ","$9,041 "
434,Louisiana,2012-13,"$3,206 ","$6,277 "
435,Massachusetts,2012-13,"$5,464 ","$11,378 "
436,Maryland,2012-13,"$4,152 ","$8,772 "
437,Maine,2012-13,"$3,561 ","$10,004 "
438,Michigan,2012-13,"$3,250 ","$11,959 "
439,Minnesota,2012-13,"$5,737 ","$11,070 "
440,Missouri,2012-13,"$3,086 ","$8,489 "
441,Mississippi,2012-13,"$2,420 ","$6,581 "
442,Montana,2012-13,"$3,306 ","$6,576 "
443,North Carolina,2012-13,"$2,310 ","$6,625 "
444,North Dakota,2012-13,"$4,241 ","$7,486 "
445,Nebraska,2012-13,"$2,779 ","$7,676 "
446,New Hampshire,2012-13,"$7,197 ","$15,615 "
447,New Jersey,2012-13,"$4,445 ","$13,267 "
448,New Mexico,2012-13,"$1,702 ","$6,067 "
449,Nevada,2012-13,"$2,885 ","$6,827 "
450,New York,2012-13,"$4,758 ","$7,011 "
451,Ohio,2012-13,"$4,496 ","$10,437 "
452,Oklahoma,2012-13,"$3,380 ","$6,841 "
453,Oregon,2012-13,"$4,511 ","$8,881 "
454,Pennsylvania,2012-13,"$4,487 ","$13,224 "
455,Puerto Rico,2012-13,,"$2,929 "
456,Rhode Island,2012-13,"$4,220 ","$11,669 "
457,South Carolina,2012-13,"$4,539 ","$11,479 "
458,South Dakota,2012-13,"$5,842 ","$7,894 "
459,Tennessee,2012-13,"$3,909 ","$8,201 "
460,Texas,2012-13,"$2,293 ","$8,915 "
461,Utah,2012-13,"$3,365 ","$5,996 "
462,Virginia,2012-13,"$4,479 ","$10,579 "
463,Vermont,2012-13,"$7,255 ","$14,451 "
464,Washington,2012-13,"$4,533 ","$11,320 "
465,Wisconsin,2012-13,"$4,306 ","$9,285 "
466,West Virginia,2012-13,"$3,123 ","$6,288 "
467,Wyoming,2012-13,"$2,607 ","$4,571 "
468,Alaska,2013-14,,"$6,167 "
469,Alabama,2013-14,"$4,350 ","$9,599 "
470,Arkansas,2013-14,"$3,150 ","$7,599 "
471,Arizona,2013-14,"$2,445 ","$10,561 "
472,California,2013-14,"$1,493 ","$9,512 "
473,Colorado,2013-14,"$3,924 ","$9,532 "
474,Connecticut,2013-14,"$3,967 ","$10,722 "
475,District of Columbia,2013-14,,"$7,603 "
476,Delaware,2013-14,"$4,244 ","$11,798 "
477,Florida,2013-14,"$3,292 ","$6,617 "
478,Georgia,2013-14,"$3,591 ","$8,198 "
479,Hawaii,2013-14,"$3,408 ","$9,508 "
480,Iowa,2013-14,"$4,598 ","$8,213 "
481,Idaho,2013-14,"$3,874 ","$6,628 "
482,Illinois,2013-14,"$3,556 ","$13,183 "
483,Indiana,2013-14,"$3,991 ","$9,353 "
484,Kansas,2013-14,"$2,665 ","$8,099 "
485,Kentucky,2013-14,"$4,529 ","$9,117 "
486,Louisiana,2013-14,"$3,543 ","$6,922 "
487,Massachusetts,2013-14,"$5,389 ","$11,263 "
488,Maryland,2013-14,"$4,183 ","$8,886 "
489,Maine,2013-14,"$3,561 ","$9,841 "
490,Michigan,2013-14,"$3,379 ","$12,156 "
491,Minnesota,2013-14,"$5,631 ","$10,966 "
492,Missouri,2013-14,"$3,129 ","$8,481 "
493,Mississippi,2013-14,"$2,507 ","$6,879 "
494,Montana,2013-14,"$3,321 ","$6,524 "
495,North Carolina,2013-14,"$2,361 ","$6,828 "
496,North Dakota,2013-14,"$4,302 ","$7,622 "
497,Nebraska,2013-14,"$2,804 ","$7,665 "
498,New Hampshire,2013-14,"$7,057 ","$15,353 "
499,New Jersey,2013-14,"$4,470 ","$13,332 "
500,New Mexico,2013-14,"$1,692 ","$6,246 "
501,Nevada,2013-14,"$2,829 ","$6,693 "
502,New York,2013-14,"$4,840 ","$7,258 "
503,Ohio,2013-14,"$4,583 ","$10,418 "
